Time,Channel A
(s),(V)

0.00000000,1.21278300
0.00001000,1.21278300
0.00002000,1.21278300
0.00003000,1.21278300
0.00004000,1.21278300
0.00005000,1.21278300
0.00006000,1.21278300
0.00007000,1.21278300
0.00008000,1.21278300
0.00009000,1.21278300
0.00010000,1.21278300
0.00011000,1.21278300
0.00012000,1.21278300
0.00013000,1.21278300
0.00014000,1.21278300
0.00015000,1.21278300
0.00016000,1.21278300
0.00017000,1.21278300
0.00018000,1.21278300
0.00019000,1.21278300
0.00020000,1.21278300
0.00021000,1.21278300
0.00022000,1.21278300
0.00023000,1.21278300
0.00024000,1.21278300
0.00025000,1.21278300
0.00026000,1.21278300
0.00027000,1.21278300
0.00028000,1.21278300
0.00029000,1.21278300
0.00030000,1.21278300
0.00031000,1.21278300
0.00032000,1.21278300
0.00033000,1.21278300
0.00034000,1.21278300
0.00035000,1.21278300
0.00036000,1.21278300
0.00037000,1.21278300
0.00038000,1.21278300
0.00039000,1.21278300
0.00040000,1.21278300
0.00041000,1.21278300
0.00042000,1.21278300
0.00043000,0.00000000
0.00044000,1.21278300
0.00045000,1.21278300
0.00046000,1.21278300
0.00047000,1.21278300
0.00048000,1.23013000
0.00049000,1.21278300
0.00050000,1.21278300
0.00051000,1.23013000
0.00052000,1.21278300
0.00053000,1.21278300
0.00054000,1.21278300
0.00055000,1.21278300
0.00056000,1.21278300
0.00057000,1.21278300
0.00058000,1.21278300
0.00059000,1.21278300
0.00060000,1.21278300
0.00061000,1.21278300
0.00062000,1.21278300
0.00063000,1.21278300
0.00064000,1.21278300
0.00065000,1.21278300
0.00066000,1.21278300
0.00067000,1.21278300
0.00068000,1.21278300
0.00069000,1.21278300
0.00070000,1.21278300
0.00071000,1.21278300
0.00072000,1.21278300
0.00073000,1.21278300
0.00074000,1.21278300
0.00075000,1.21278300
0.00076000,1.21278300
0.00077000,1.23013000
0.00078000,1.21278300
0.00079000,1.21278300
0.00080000,1.21278300
0.00081000,1.21278300
0.00082000,1.21278300
0.00083000,1.21278300
0.00084000,1.21278300
0.00085000,1.21278300
0.00086000,1.21278300
0.00087000,1.21278300
0.00088000,1.21278300
0.00089000,1.19549700
0.00090000,1.21278300
0.00091000,1.21278300
0.00092000,1.21278300
0.00093000,1.21278300
0.00094000,1.21278300
0.00095000,1.21278300
0.00096000,1.21278300
0.00097000,1.21278300
0.00098000,1.21278300
0.00099000,1.21278300
0.00100000,1.21278300
0.00101000,1.21278300
0.00102000,1.21278300
0.00103000,1.21278300
0.00104000,1.21278300
0.00105000,1.21278300
0.00106000,1.21278300
0.00107000,1.21278300
0.00108000,1.21278300
0.00109000,1.21278300
0.00110000,1.21278300
0.00111000,1.21278300
0.00112000,1.21278300
0.00113000,1.21278300
0.00114000,1.21278300
0.00115000,1.21278300
0.00116000,1.21278300
0.00117000,1.21278300
0.00118000,1.21278300
0.00119000,1.21278300
0.00120000,1.21278300
0.00121000,1.21278300
0.00122000,1.21278300
0.00123000,1.21278300
0.00124000,1.21278300
0.00125000,1.21278300
0.00126000,1.21278300
0.00127000,1.21278300
0.00128000,1.21278300
0.00129000,1.21278300
0.00130000,1.21278300
0.00131000,1.21278300
0.00132000,1.21278300
0.00133000,1.21278300
0.00134000,1.21278300
0.00135000,1.21278300
0.00136000,1.21278300
0.00137000,1.21278300
0.00138000,1.21278300
0.00139000,1.21278300
0.00140000,1.21278300
0.00141000,1.21278300
0.00142000,1.21278300
0.00143000,1.21278300
0.00144000,1.21278300
0.00145000,-0.01728592
0.00146000,1.23013000
0.00147000,1.21278300
0.00148000,1.21278300
0.00149000,1.21278300
0.00150000,1.21278300
0.00151000,1.21278300
0.00152000,1.21278300
0.00153000,1.21278300
0.00154000,1.21278300
0.00155000,1.21278300
0.00156000,1.21278300
0.00157000,1.21278300
0.00158000,1.21278300
0.00159000,1.21278300
0.00160000,1.21278300
0.00161000,1.21278300
0.00162000,1.21278300
0.00163000,1.21278300
0.00164000,1.21278300
0.00165000,1.21278300
0.00166000,1.21278300
0.00167000,1.21278300
0.00168000,1.21278300
0.00169000,1.21278300
0.00170000,1.21278300
0.00171000,1.21278300
0.00172000,1.21278300
0.00173000,1.21278300
0.00174000,1.21278300
0.00175000,1.21278300
